design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-12	-12	-12	-2.4021074740325923				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-11	-11	-11	-2.4091307874233703				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-10	-10	-10	-2.419253469638287				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-9	-9	-9	-1.490625440708811				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-8	-8	-8	-1.5065407500326906				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-7	-7	-7	-1.525059652890837				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-6	-6	-6	-0.9374745034612147				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-5	-5	-5	-0.9604514878333416				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	-4	-4	-0.9852448228938754				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-3	-3	-3	0.0561162151614517				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-2	-2	-2	0.0285446460636436				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	0	0	0	-0.5569869252390344				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1	1	1	-0.5541708228730835				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	2	2	2	-0.5495860773451313				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	3	3	3	-0.6191867683822038				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	4	4	4	-0.6110564141607479				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	5	5	5	-0.6011678144283974				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	6	6	6	-0.5891643154838309				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	7	7	7	-0.5758337129082054				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	8	8	8	-0.5608362843117733				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	9	9	9	-1.0211174760946284				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	10	10	10	-1.00293245461399				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	11	11	11	-0.9832394785322024				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	12	12	12	-1.0108757709792535				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	13	13	13	-1.010737635775239				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	14	14	14	-1.0103628657411277				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	15	15	15	-1.0869878417094814				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	16	16	16	-1.0861266104760856				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	17	17	17	-1.0850157926968342				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	18	18	18	-1.264792869271964				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	19	19	19	-1.2631708399394912				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	20	20	20	-1.2612874840774149				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	21	21	21	-1.1087057910900262				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	22	22	22	-1.1062891575538374				1.0	72	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	23	23	23	-1.10360092689935				1.0	72	1.0
