design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-12	-12	-12	-4.206100088904723	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-11	-11	-11	-4.069930433039341	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-10	-10	-10	-3.802232720543513	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-9	-9	-9	-3.16490034023155	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-8	-8	-8	-2.514903016087466	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-7	-7	-7	-2.6586891033206976	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-6	-6	-6	-2.0527490136825577	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-5	-5	-5	-2.0070852003715163	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	-4	-4	-1.472641383563948	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-3	-3	-3	-1.370222051448902	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-2	-2	-2	-0.07775315914722647	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	0	0	0	-0.43502731711349973	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1	1	1	-0.6714911419679652	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	2	2	2	3.0727281566246383	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	3	3	3	-0.05652400854759457	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	4	4	4	-1.5712330488553565	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	5	5	5	-1.4019502313763452	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	6	6	6	-1.3032391616101346	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	7	7	7	-1.9654840291674076	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	8	8	8	-0.8442211872840506	inf		1.0	1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-12	-12	-12	4.20610008890473				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-11	-11	-11	4.069930433039339				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-10	-10	-10	3.8022327205435023				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-9	-9	-9	3.1649003402315583				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-8	-8	-8	2.5149030160874766				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-7	-7	-7	2.658689103320697				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-6	-6	-6	2.052749013682549				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-5	-5	-5	2.007085200371507				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-4	-4	-4	1.4726413835639516				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-3	-3	-3	1.3702220514488852				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-2	-2	-2	0.07775315914723535				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	0	0	0.4350273171134944				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	1	1	0.6714911419679528				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	2	2	2	-3.0727281566246294				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	3	3	3	0.05652400854758785				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	4	4	4	1.571233048855344				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	5	5	5	1.4019502313763281				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	6	6	6	1.3032391616101364				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	7	7	7	1.9654840291673927				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	8	8	8	0.8442211872840399				1.0	42	1.0
